job_role,years_experience,education_level,country,industry,company_size,remote_work_type,team_size,salary_usd_k,primary_ai_tool,ai_tools_used_per_day,hours_with_ai_assistance_daily,ai_replaces_my_tasks_pct,ai_adoption_stage,weekly_ai_upskilling_hrs,productivity_score,burnout_score,job_satisfaction_1_5,fear_of_ai_replacement,attrition_risk
Data Scientist,13,Self-taught,France,Automotive,Startup (<50),Fully Remote,10,52,Notion AI,7,4.5,94,Experimenting,14.1,82,35,2.7,High,High
Backend Engineer,12,Bachelor,USA,Automotive,Small (50-200),On-site,13,175,Cursor,2,7.6,72,Experimenting,7.6,71,15,2.1,Low,Medium
Backend Engineer,12,Bootcamp,Canada,Cybersecurity,Enterprise (5000+),Fully Remote,40,148,GitHub Copilot,6,1.5,25,AI-First,9.3,42,74,3.6,Low,Low
Data Analyst,6,Bachelor,UK,Fintech,Small (50-200),On-site,7,66,Notion AI,10,0.5,47,Optimizing,8.3,45,17,3.6,Medium,Medium
ML Engineer,13,Self-taught,Netherlands,Cybersecurity,Large (1000-5000),Fully Remote,49,183,Midjourney,10,7.6,20,Experimenting,2.7,57,32,5.0,Medium,Low
Backend Engineer,18,Master,Australia,Media,Mid (200-1000),Fully Remote,25,77,ChatGPT,9,2.7,79,Experimenting,5.7,68,61,2.3,Medium,Medium
Data Scientist,12,Bootcamp,Canada,Automotive,Large (1000-5000),Hybrid,48,132,Gemini,4,2.8,88,Optimizing,10.1,59,23,4.5,High,Medium
Backend Engineer,8,Bachelor,Singapore,Cybersecurity,Large (1000-5000),Hybrid,28,95,ChatGPT,9,2.7,92,Integrating,12.0,88,26,4.7,Medium,Medium
AI Researcher,14,Bootcamp,Germany,E-commerce,Small (50-200),On-site,45,184,Gemini,4,3.3,30,Integrating,1.1,65,98,2.2,Low,High
Software Engineer,6,Master,UK,Media,Small (50-200),Hybrid,44,132,GitHub Copilot,2,4.3,30,Experimenting,8.3,41,75,4.1,Medium,Low
AI Researcher,14,Bachelor,Brazil,EdTech,Enterprise (5000+),On-site,50,185,Notion AI,4,6.0,18,Integrating,2.1,24,17,2.7,Medium,High
